,title,publisher,date,isbn,Authors,category
161,Gustav Klimt. nel segno di Hoffmann e della secessione,24 Ore Cultura,2012,8866480975,"Alfred Weidinger, Agnes Husslein-Arco",Klimt
182,Polemiche su Klimt. ,,2012,8897634265,Hermann Bahr,Klimt
166,Nel mondo di Klimt. ,,2012,8809774361,Eva Di Stefano,Klimt
160,"Klimt. le donne, l'arte, gli amori",Tre Lune,2012,8889832479,Edgarda Ferri,Klimt
39,"Von Dürer bis de Kooning : 100 Meisterzeichnungen, die Staatliche graphische Sammlung München zu Gast in New York, [Ausstellung, New York, Morgan library & museum, 12. Oktober 2012-6. Januar 2013]. ","München : Hirmer , cop. 2012",2012,3777455210,,De Kooning
204,Klimt - Skira Mini Artbook. ,Skira - Berenice,2012,8857202720,Armiraglio Federica,Klimt
287,Gustav Klimt & Emilie Flöge. Photographs,Prestel Publishing,2012,3791352474,Agnes Husslein-Arco,Klimt
36,La moquette de Klimt : poèmes. ,"Paris : Non lieu , DL 2012",2012,9782352701330,,Klimt
159,Gustav Klimt: Giuditta II. Un ritorno annunciato. ,,2012,8831713396,Giandomenico Romanelli,Klimt
94,"Klimt persönlich : Bilder, Briefe, Einblicke, [Jubiläumsausstellung, 24.02.2012 - 27.08.2012 im Leopold Museum, Wien]. ","Wien : Brandtstätter , cop. 2012",2012,385033628X,,Klimt
233,Gustav Klimt. The Complete Paintings,Taschen America Llc,2012,3836527952,"Rainald Franz, Angelina Pötschner, Christoph Grunenberg, Anette Freytag, Susanna Partsch, Evelyn Benesch, Marian Bisanz-Prakken, Michaela Reichel",Klimt
175,Gustav Klimt. disegni intorno al Fregio di Beethoven,,2012,8857214052,Annette Vogel,Klimt
67,"Klimt : up close and personal, paintings, letters, insights. ","Wien : Brandstätter , cop. 2012",2012,3850336298,,Klimt
232,Gustav Klimt. The Magic of Line,J Paul Getty Museum Publications,2012,1606061119,Marian Bisanz-Prakken,Klimt
155,Klimt. la sua vita in parole e immagini,,2012,389919232X,Harald Salfellner,Klimt
176,Gustav Klimt. ,Parkstone International,2012,9781783102549,"Jane Rogoyska, Patrick Bade",Klimt
84,"Gustav Klimt : Erwartung und Erfüllung, Entwürfde zum Mosaikfries im Palais Stoclet, [Ausstellung, Wien, MAK, Österreichisches Museum für Angewandte Kunst, 21.3-15.7.2012]. ","Ostfildern : Hatje Cantz , cop. 2012",2012,3775733051,,Klimt
35,Joseph Klimt. ,"Saint-Denis : Édilivre , impr. 2013",2013,9782332654427,,Klimt
16,Gustav Klimt : die Sammlung im Leopold Museum. ,Ostfildern : Hatje Cantz,2013,3775737448,,Klimt
253,"Gustav Klimt. The Kiss, ""lovers""",Jovis Verlag,2013,3868593101,Agnes Husslein-Arco,Klimt
180,Gustav Klimt e Malcesine. la famiglia Zuckerkandl e il mistero di un quadro scomparso,,2013,8890893818,Paolo Boccafoglio,Klimt
256,Klimt's Drawings. ,eBookIt.com,2013,9781456616397,Daniel Coenn,Klimt
124,"Gustav Klimt, ""Les trois âges de la femme"". ","[Paris] : ""Le Monde"" ; Florence : E-ducation.it , cop. 2013",2013,9782361561307,,Klimt
106,"Willem de Kooning. Ten Paintings, 1983-1985",Rizzoli Publications,2014,9780847843916,,De Kooning
199,"L'ossessione nordica. Klimt, Böcklin, Munch e la pittura italiana. Catalogo della mostra (Rovigo, 22 febbraio-21 giugno 2014). ",,2014,8831717847,"Giandomenico Romanelli, A. Tiddia",Klimt
1,A way of living : the art of Willem De Kooning. ,"London : Phaidon Press Limited , 2017",2014,0714845817,,De Kooning
66,"Klimt et Vienne, un siècle d'or et de couleurs : Gustav Klimt, Egon Schiele, Fritz Hundertwasser, spectacle original de Gianfranco Iannuzzi, Renatto Gatto, Massimiliano Siccardi. ","[Ferney-Voltaire] : Éditions Érick Venturelli photographies , 2014",2014,9782955300619,,Klimt
37,"Klimt et Vienne, un siècle d'or et de couleurs : Carrières de lumières, les Baux-de-Provence. ","[Issy-les-Moulineaux] : ""Beaux-arts"" éd.-[TTM éd.] , DL 2014",2014,9791020400697,,Klimt
202,Delphi Complete Works of Gustav Klimt (Illustrated). ,Delphi Classics,2014,,Gustav Klimt,Klimt
279,Killing for Klimt. A Megan Crespi Mystery Series Novel,Sunstone Press,2014,9781632930064,Alessandra Comini,Klimt
225,Gustav Klimt. Drawings and Pastels,,2014,9782897282226,Narim Bender,Klimt
212,Gustav Klimt. La storia illustrata dei grandi protagonisti dell'arte. ,,2014,8866481955,Stefano Zuffi,Klimt
164,Klimt. alle origini di un mito,24 Ore Cultura,2014,8866481939,Alfred Weidinger,Klimt
277,Gustav Klimt: Tree of Life (Foiled Journal). ,Flame Tree Notebooks,2014,1783611839,Flame Tree Studio,Klimt
163,Klimt. ,Parkstone International,2014,9781781609897,"Patrick Bade, Jane Rogoyska",Klimt
60,"Klimt : alle origini di un mito, [mostra, Milan, Palazzo reale, 12.03-13.07, 2014]. ","Milano : 24 ore cultura , impr. 2014",2014,8866481939,,Klimt
77,"L'ossessione nordica : Böcklin, Klimt, Munch e la pittura italiana, [mostra, Rovigo, Palazzo Roverella, 22 febbraio-22 giugno 2014]. ","Venezia : Marsilio , 2014",2014,8831717847,,Klimt
152,Klimt. Ediz. italiana. ,,2015,3836559730,Gilles Néret,Klimt
174,Écrits et propos de Willem De Kooning. Les Fiches de lecture d'Universalis,Encyclopaedia Universalis,2015,9782852296558,"Encyclopaedia Universalis,",De Kooning
136,Better than de Kooning. ,Snoeck,2015,3864421373,"Andreas Baur, Marcus Weber",De Kooning
236,Klimt. ,,2015,3836558076,Gilles Néret,Klimt
4,"Art in Vienna 1898-1918 : Klimt, Kokoschka, Schiele and their contemporaries. ","London : Phaidon , 2015",2015,0714868787,,Klimt
244,Gustav Klimt. Art Nouveau and the Vienna Secessionists,Flame Tree Illustrated,2015,1783616083,Michael Kerrigan,Klimt
93,"Au temps de Klimt : la sécession à Vienne, [exposition, Paris, Pinacothèque de Paris, 12 février-21 juin 2015]. ","Milan : 24 Ore cultura ; Paris : Pinacothèque de Paris , cop. 2015",2015,8866482552,,Klimt
235,The Little Klimt. A Fun and Cultural Moment for the Whole Family!,Kate'Art Éditions,2015,9782875750686,Catherine de Duve,Klimt
55,Le gardien de l'arbre : Klimt. ,"Futuroscope : Canopé éditions ; Saint-Pierre-des-Corps : l'Élan vert , DL 2015",2015,9782240042903,,Klimt
239,Gustav Klimt. 130 Paintings in Close Up,Createspace Independent Publishing Platform,2015,1507630344,Matt Johnson,Klimt
47,"Mélanie-A Turner-Klimt : ou la désespérance de l'art, kit théâtral. ","Paris : les Éditions Chapitre.com , DL 2015",2015,9791029002045,,Klimt
15,Willem de Kooning nonstop : cherchez la femme. ,"Chicago : London : The University of Chicago press , 2015",2015,022626744X,,De Kooning
110,De Kooning. Sculptures 1972-1974,,2015,0988930099,,De Kooning
122,"Cahier de coloriages : Gustav Klimt le fondateur de la Sécession viennoise, [album à colorier]. ","Vanves : Chêne , 2016",2016,9782812313646,,Klimt
301,Gustav Klimt: Fulfilment (Foiled Pocket Journal). ,Flame Tree Gift,2016,1783616822,"Flame Tree, Flame Tree Studio",Klimt
121,"Cahier de coloriages : Gustav Klimt le fondateur de la sécession viennoise, [album à colorier]. ","Paris : Chêne , 2016",2016,9782812313967,,Klimt
113,Gustav Klimt. ,"Paris : Éditions Place des Victoires , [2016]",2016,9782809914290,,Klimt
305,Color Your Own Klimt. ,Harper Design,2016,0062484435,The Belvedere,Klimt
68,Willem de Kooning Nonstop. Cherchez la femme,University of Chicago Press,2016,9780226267586,Rosalind E. Krauss,De Kooning
310,"Hope, Gustav Klimt. Blank Journal. 160 Blank Pages, 6 X 9 Inch (15. 24 X 22. 86 Cm) Soft Cover",,2016,1530760976,Studio Beeker,Klimt
295,Gustav Klimt: Three Ages of Woman (Foiled Pocket Journal). ,Flame Tree Gift,2016,1783616873,Flame Tree Studio,Klimt
131,Get to Know Willem de Kooning. ,,2016,0766072428,Charlotte Taylor,De Kooning
149,Klimt. Il modernismo. ,,2016,8809991613,Eva Di Stefano,Klimt
265,Klimt. Il tuo album di Klimt da colorare-Colour your own Klimt. ,,2016,8893480352,,Klimt
157,Klimt. Le donne. ,,2016,880999423X,Eva Di Stefano,Klimt
33,"Gustav Klimt, 1862-1918 : le monde comme une forme féminine. ","Köln ; [Paris] : Taschen , cop. 2016",2016,9783836558068,,Klimt
2,"Hartung et les peintres lyriques : Schneider, Gottlieb, De Kooning, Winter, Degottex, Mathieu, Hantaï, Jaffe, Twombly, Frankenthaler, Polke, Traquandi, Oehlen, Wool, Zurstrassen, Von Heyl, Bradley, [exposition, Landerneau, Les Capucins, 11 décembre 2016-17 avril 2017]. ","Landerneau : Fonds Hélène & Édouard Leclerc pour la culture , DL 2016",2016,9791096209002,,De Kooning
7,"Burri : lo spazio di materia - tra Europa e USA, Afro, Andre, Arman, Beuys, Calder, Calzolari, Capograssi, Castellani, César, Chamberlain, Christo, Colla, De Kooning, Dubuffet, Fautrier, Fontana, Hartung, Johns, Kiefer, Klein, Kounellis, Leoncillo, Lewitt, Lo Savio, Mannucci, Manzoni, Marca-Relli, Matta, Mattiacci, Miró, Morris, Motherwell, Nevelson, Nicholson, Pascal, Piene, Pistoletto, Pollock, Rauschenberg, Rotella, Scarpitta, Scialoja, Serra, Sonnier, Soulages, Tàpies, Tinguely, Twombly, Uncini, Wols, [mostra, Fondazione Palazzo Albizzini Collezione Burri, Ex seccatoi del tabacco, Città del Castello, 24 settembre 2016-06 gennaio 2017]. ","Città di Castello : Fondazione Palazzo Albizzini Collezione Burri , 2016",2016,8894063984,,De Kooning
211,"Attorno a Klimt. Giuditta, eroismo e seduzione. ",,2016,8895598628,G. Belli,Klimt
164,Willem De Kooning's Paintbrush. ,HarperAvenue,2016,1443435775,Kerry Lee Powell,De Kooning
238,"Klimt and the Women of Vienna's Golden Age, 1900-1918. ",National Geographic Books,2016,9783791355825,Tobias G. Natter,Klimt
79,Willem De Kooning. A Portrait,Createspace Independent Publishing Platform,2016,1532883374,Bert Schierbeek,De Kooning
136,Le muse di Klimt. ,Mondadori Electa,2016,9788851052355,Paola Romagnoli,Klimt
118,Willem de Kooning. A Way of Living,Phaidon Press,2017,0714873160,Judith Zilczer,De Kooning
88,De Kooning - Zao Wou-KI. ,Dominique Levy Gallery,2017,1944379126,,De Kooning
82,De Kooning. ,,2017,383654962X,"Barbara Hess, Willem De Kooning",De Kooning
248,Nel segno di Klimt. Gorizia salotto mitteleuropeo nel Regno d'Italia,,2017,OCLC:1045866559,,Klimt
242,Klimt & Rodin. An Artistic Encounter,Prestel,2017,3791357085,"Tobias Günter Natter, Martin Chapman, Matthias Haldemann, Michael Kausch, Renée Price",Klimt
269,Klimt. ,,2017,2072577195,Sanchez,Klimt
272,Klimt and Antiquity. Erotic Encounters,Prestel Publishing,2017,3791356992,"Stella Rollig, Tobias Günter Natter",Klimt
224,Klimt. ,Editions Gallimard,2017,9782072577161,Serge Sanchez,Klimt
38,Klimt. ,"[Paris] : Gallimard , DL 2017",2017,9782070462704,,Klimt
213,"Nel segno di Klimt. Gorizia, salotto mitteleuropeo. ",,2017,8899489157,"Museo di Santa Chiara (Gorizia, Italie)., Paolo Bressan",Klimt
294,Gustav Klimt: Fulfilment (Blank Sketch Book). ,Flame Tree Gift,2017,1786641569,Flame Tree Studio,Klimt
296,Gustav Klimt: Detail from the Kiss (Blank Sketch Book). ,Flame Tree Gift,2017,1786641089,Flame Tree Studio,Klimt
195,Gustav Klimt. A Critical Reappraisal,McFarland,2017,9781476668086,Dani Cavallaro,Klimt
267,Gustav Klimt. Erotic Sketchbook,National Geographic Books,2017,9783791383897,,Klimt
162,Klimt. Ediz. a colori. ,Varia illustrata,2017,8897427081,"Margherita Cavenago, Livia Spano",Klimt
54,Klimt. ,"Grenoble : Glénat , DL 2017",2017,9782344003831,,Klimt
263,Klimt. ,,2017,2344003835,Jean-Luc Cornette,Klimt
11,"Gustav Klimt, tout l'œuvre peint. ","Köln ; [Paris] : Taschen , cop. 2017",2017,9783836566605,,Klimt
110,"Les grands artistes : une boîte magique pour apprendre à jouer avec l'art !, Léonard de Vinci, Caravage, cubisme, Claude Monet, Gustav Klimt, Vincent Van Gogh, surréalisme, Vassily Kandinsky, futurisme, pop art. ","[Paris] : Citadelles jeunesse , cop. 2017",2017,9782850887277,,Klimt
27,A generous vision : the creative life of Elaine de Kooning. ,"Oxford : Oxford university press , 2017",2017,0190498471,,De Kooning
307,Ferdinand Hodler: Elective Affinities from Klimt to Schiele. ,Walther Konig Verlag,2017,UCSD:31822043933704,Hans-Peter Wipplinger,Klimt
21,"Willem De Kooning, Zao Wou-Ki : [exposition Lévy Gorvy, New York, January 18 - March 11, 2017]. ",New York : Lévy Gorvy,2017,1944379126,,De Kooning
254,Gustav Klimt Drawings... Vol. 2. Beautiful Sketches by Gustav Klimt,,2018,1986087662,"Gustav Klimt, The Secret Libraries",Klimt
125,"Gustav Klimt : une immersion dans l'art et la musique, Atelier des lumières, Paris, une réalisation Gianfranco Iannuzzi, Renato Gatto, Massimiliano Siccardi. ","Issy-les-Moulineaux : ""Beaux-arts"" éditions , DL 2018",2018,9791020404404,,Klimt
41,"""Ver sacrum"" : la revue de la Sécession viennoise, 1898-1903, Gustav Klimt, Koloman Moser, Otto Wagner, Alfred Roller, Max Kurzweil, Joseph M. Olbrich, Josef Hoffmann. ","Paris : Skira , DL 2018",2018,9782370740960,,Klimt
219,Il mistero del doppio ritratto di Klimt. ,,2018,889667381X,Ermanno Mariani,Klimt
169,Klimt. Ediz. illustrata. ,Skira Masters,2018,8857233111,F. Ammiraglio,Klimt
134,Gustav Klimt. ,Giunti,2018,9788858780428,"Sergio Risaliti, Giovanni Iovane",Klimt
196,"Ver Sacrum. La rivista della Secessione viennese 1898-1903. Gustav Klimt, Koloman Moser, Otto Wagner, Alfred Roller, Max Kurzweil, Joseph M. Olbrich, Josef Hoffmann. Ediz. a colori. ",Arte moderna. Cataloghi,2018,8857239314,Valerio Terraroli,Klimt
64,"Faszination Japan : Monet, Van Gogh, Klimt, [Ausstellung, Bank Austria Kunstforum Wien, 10. Oktober 2018 bis 20. Januar 2019]. ",[Heidelberg] : Kehrer,2018,3868288821,,Klimt
63,"Say it with flowers! : Viennese flower painting from Waldmüller to Klimt, [exhibition Orangerie of the Lower Belvedere, Vienna, June 22 - September 30, 2018]. ","Vienna : Belvedere , 2018",2018,9783791357928,,Klimt
172,Klimt. Ediz. a colori. ,Storie bioGrafiche,2018,885403746X,Viv Croot,Klimt
209,Gustav Klimt. Jahrhundertkünstler,,2018,3950451897,"Hans-Peter Wipplinger, Sandra Tretter",Klimt
131,Gustav Klimt. Tutti i dipinti. ,,2018,383656291X,Tobias G. Natter,Klimt
0,"Klimt and Schiele : drawings from the Albertina Museum, Vienna, [exhibition, Museum of fine arts, Boston, from February 25 to May 28, 2018]. ","Boston, MA : Museum of Fine Arts, Boston : D.A.P./Distributed Art Publishers (Distributor)",2018,0878468528,,Klimt
268,Beyond Klimt. New Horizons in Central Europe,,2018,3777430595,"Stella Rollig, Alexander Klee",Klimt
10,Klimt lost. ,Wien : Czernin Verlag,2018,3707606414,,Klimt
261,Klimt Lost. Reihe Klimt Villa,,2018,3707606414,"Niko Wahl, Marion Krammer",Klimt
0,Le rire de De Kooning. ,"Bordeaux : Olympique , 2019",2019,9782955755068,,De Kooning
118,"Gustav Klimt : Créez votre propre chef-d'oeuvre, [Album à colorier]. ","Paris : Larousse , 2019",2019,9782035969286,,Klimt
321,Klimt. La realtà trasfigurata. Ediz. illustrata. ,,2019,8854042218,Sylvie Girard-Lagorce,Klimt
145,Gustav Klimt. La bellezza assoluta. ,,2019,8869214214,Otto Gabos,Klimt
150,Il grande racconto di Klimt. ,,2019,8832213044,M. Rota,Klimt
65,"Koloman Moser : Universalkünstler zwischen Gustav Klimt und Josef Hoffmann, [Austellung, MAK, Wien 12/19 2018- 04/22 2019 ; Museum Villa Stuck, München, 09/23-09/15 2019]. ","Basel : Birkhauser ; Wien : MAK , 2019",2019,3035618496,,Klimt
308,"Gustav Klimt Black Paper Sketchbook. The Maiden | Modern Art Nouveau Notebook for Painting and Drawing with Vivid Colors | Use with Colored Pencils, Chalk, Metallic Markers, Gel and Ink Pens | Large Artsy Jugendstil All Black Blank Pages Sketch Pad",,2019,1712160907,Shy Panda Notebooks,Klimt
303,Gustav Klimt: Adele Bloch Bauer I (Blank Sketch Book). ,Flame Tree Gift,2019,1787555895,Flame Tree Studio,Klimt
302,Klimt Journal #2. Cool Artist Gifts - Portrait of Adele Bloch-Bauer Gustav Klimt Notebook Journal to Write in 6x9 150 Lined Pages,,2019,1710353511,Twisted City Gustav Klimt Gifts,Klimt
171,Gustav Klimt. ,Arcturus Publishing,2019,9781839403323,A. N. Hodge,Klimt
300,Klimt Sketchbook #3. Cool Artist Gifts - Farm Garden with Sunflowers Gustav Klimt Sketchbooks for Artists Adults and Kids to Draw in 8. 5x11 100 Blank Pages,,2019,1712660268,Twisted City Gustav Klimt Gifts,Klimt
46,Gustav Klimt. ,"Toulouse : Milan , DL 2019",2019,9782408012984,,Klimt
299,Klimt Journal #10. Cool Artist Gifts - the Kiss Der Kuss Gustav Klimt Notebook Journal to Write in 6x9 150 Lined Pages,,2019,1710357231,Twisted City Gustav Klimt Gifts,Klimt
298,Klimt Journal #5. Cool Artist Gifts - the Gorgons and Typheus Gustav Klimt Notebook Journal to Write in 6x9 150 Lined Pages,,2019,1710355204,Twisted City Gustav Klimt Gifts,Klimt
249,Gustav Klimt. Vienna - Japan 1900,,2019,OCLC:1419355883,,Klimt
39,Gustav Klimt. ,"Paris : Larousse , DL 2019",2019,9782035975935,,Klimt
280,"Klimt LARGE Notebook #2. Cool Artist Gifts - Portrait of Adele Bloch-Bauer Gustav Klimt Notebook College Ruled to Write in 8.5x11"" LARGE 100 Lined Pages",,2019,1712647164,Twisted City Gustav Klimt Gifts,Klimt
282,"Klimt Journal #3. Cool Artist Gifts - Farm Garden with Sunflowers Gustav Klimt Notebook Journal To Write In 6x9"" 150 Lined Pages",,2019,1710354038,Twisted City Gustav Klimt Gifts,Klimt
222,Gustav Klimt. Landscapes,National Geographic Books,2019,9783791385440,Stephan Koja,Klimt
291,"Gustav Klimt Taccuino. Giuditta I - Bel Diario - Perfetto Per Prendere Appunti - Ideale Per La Scuola, Lo Studio, Le Ricette O Le Password",Independently Published,2019,1796353744,Palode Bode,Klimt
221,Art Masterclass with Gustav Klimt. ,Wide Eyed Editions,2019,9781786037985,Lucy Brownridge,Klimt
126,Gustav Klimt : dessins & peintures. ,Köln ; [Paris] : Taschen,2019,9783836562898,,Klimt
318,Gustav Klimt. La storia illustrata dei grandi protagonisti dell'arte. ,24Ore Cultura,2020,9788866484851,"Stefano Zuffi, Massimiliano Aurelio",Klimt
194,La modella di Klimt. ,Baldini & Castoldi ,2020,9788893887403,Gabriele Dadati,Klimt
80,"Gustav Klimt : d'or et de couleurs, [exposition, Bordeaux, Bassins de lumières, 10 juin-30 mai 2020]. ","Paris : Hazan , DL 2020",2020,9782754111799,,Klimt
210,La modella di Klimt. La vera storia del capolavoro ritrovato. ,,2020,8893883600,Gabriele Dadati,Klimt
123,"Portfolio Gustav Klimt : 9 peintures, [Portfolio de reproductions]. ","Paris : Nouvelles éditions Scala , 2020",2020,9782359882490,,Klimt
297,"Soltanto la nuda verità. Weininger, Klimt, Schiele. ",,2020,8846756568,Flavia Monceri,Klimt
49,Klimt : 50 chefs-d'oeuvre. ,"[Vanves] : Hazan , DL 2020",2020,9782754111638,,Klimt
42,"À fleur de peau : Vienne 1900, de Klimt à Schiele et Kokoschka, [exposition, Lausanne, Musée cantonal des beaux-arts de Lausanne, 14 février-24 mai 2020]. ","Paris : Hazan ; Lausanne : Musée cantonal des beaux-arts , DL 2020",2020,9782754111386,,Klimt
24,"Klimt : la secessione e l'Italia, [mostra al Palazzo Braschi, Rome, dal 26 Ottobre, 2021- 22  Marzo 2022]. ","Milano : Skira , 2021",2021,8857246574,,Klimt
56,De l'or dans la nuit de Vienne selon Klimt. ,"Paris : HD, Ateliers Henry Dougier , DL 2021",2021,9791031202747,,Klimt
19,Gustav Klimt. ,"Paris : Hazan jeunesse , DL 2021",2021,9782754112352,,Klimt
150,Chaïm Soutine/Willem de Kooning. La peinture incarnée,,2021,2354333331,,De Kooning
13,"Klimt e i maestri ""segreti"" della Ricci Oddi : mostra, Piacenza, Galleria d'arte moderna Ricci Oddi, 3 luglio 2021 - 9 gennaio 2022. ","Piacenza : Galleria d'arte moderna Ricci Oddi ; Busto Arsizio (VA) : Nomos edizioni , impr. 2021",2021,9791259580344,,Klimt
52,"Chaïm Soutine, Willem de Kooning, La peinture incarnée : Musée de l'Orangerie. ","Paris : ""Beaux-arts"" éditions , DL 2021",2021,9791020406392,,De Kooning
177,Klimt. L'essenziale. ,,2021,8867225782,Valérie Mettais,Klimt
129,Klimt. la secessione e l'Italia,,2021,8857246574,,Klimt
38,"Chaïm Soutine, Willem de Kooning, La peinture incarnée : [exposition, Paris, Musée de l'Orangerie, 15 septembre 2021-10 janvier 2022]. ","Paris : Musée d'Orsay : Hazan , DL 2021",2021,9782354333331,,De Kooning
99,Willem De Kooning. ,Hassell Street Press,2021,101440813X,Thomas B Cn Hess,De Kooning
293,Gustav Klimt: Tree of Life (Foiled Blank Journal). ,Flame Tree Gift,2021,1787558606,Flame Tree Studio,Klimt
135,Willem de Kooning Drawings. ,,2021,1944929290,Peter Schjeldahl,De Kooning
170,Klimt e i maestri «segreti» della Ricci Oddi. Catalogo della mostra. ,,2021,9791259580344,E. Pontiggia,Klimt
50,Willem de Kooning. ,"Lyon : Fage éditions , DL 2022",2022,9782849756874,,De Kooning
241,Il nudo e la norma. Klimt e Picasso nel 1907. ,,2022,9791254720332,Jean Clair,Klimt
218,Klimt. Masters of Art,National Geographic Books,2022,9783791387932,Angela Wenzel,Klimt
128,Willem De Kooning. Untitled XXI.,,2022,OCLC:1317842581,,De Kooning
127,"Élina : je vais sur le pot, je découvre un peintre, Gustav Klimt. ","[Paris] : les Éditions Sydney Laurent , 2022",2022,9791032649787,,Klimt
162,Willem de Kooning's Women. A Psychoanalytic Exploration,,2022,1956864199,Graeme J. Taylor,De Kooning
137,De Kooning/Shiraga. ,,2022,173410595X,"Pepe Karmel, Fergus McCaffrey",De Kooning
135,"Klimt. L'uomo, l'artista, il suo mondo. Ediz. illustrata. ",,2022,8857247511,"Gabriella Belli, Elena Pontiggia",Klimt
154,Klimt e l'arte italiana. Ediz. illustrata. ,,2023,8836654703,"Beatrice Avanzi, V. Sgarbi",Klimt
148,Klimt. ritratto di signora,,2023,8857251268,,Klimt
245,Gustav Klimt. The Interiors,Prestel Publishing,2023,379137978X,Tobias G. Natter,Klimt
101,"Robert Rauschenberg's »Erased de Kooning Drawing« (1953). Modernism, Literalism, Postmodernism",Hatje Cantz Verlag,2023,9783775755030,Gregor Stemmrich,De Kooning
85,"Klimt e l'arte italiana : [mostra, Museo d'arte moderna e contemporanea di Trento e Rovereto, MART, Rovereto, march 16 - june 18, 2023]. ","Cinisello Balsamo, Milano : Silvana editoriale",2023,8836654703,,Klimt
144,Gustav Klimt. ,Parkstone International,2023,9781780422626,"Jane Rogoyska, Patrick Bade",Klimt
4,"Les irascibles : Pollock, De Kooning, Rothko et les autres, roman. ","Paris : le Cherche midi , DL 2023",2023,9782749176703,,De Kooning
174,Gustav Klimt. ,Parkstone International,2023,9781783106073,Patrick Bade,Klimt
128,"Berta Zuckerkandl : de Klimt à Rodin, une salonnière et critique d'art entre Vienne et Paris. ","Rennes : Presses universitaires de Rennes , DL 2023",2023,9782753592391,,Klimt
63,Willem de Kooning and Italy. ,Marsilio Editori,2024,9791254631690,,De Kooning
143,THE DE KOONING AFFAIR.. ,,nan,OCLC:263511675,Willem De Kooning,De Kooning
